datetime,path,label,description
2024-01-07_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-07_180000.npy,colder/drier/ quieter conditions fog ice Snow showers,much colder/drier/ quieter conditions underway Some fog and also ice given recent wet weather Some fog and also ice given recent wet weather Snow showers running W’wards across S areas during Monday
2024-01-08_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-08_000000.npy,colder conditions drier conditions quieter conditions cloudier weather fog ice showers snow showers,much colder/drier/quieter conditions underway cloudier slightly less cold weather probably spreading slowly S’wards Some fog and also ice given recent wet weather LOC ice this morning where showers running into E of NI and SE Scotland showers running into E of NI and SE Scotland Snow showers running W’wards across S areas during Monday
2024-01-08_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-08_060000.npy,colder conditions drier conditions quieter conditions cloudier weather fog ice showers snow showers,much colder conditions now established much drier conditions now established much quieter conditions now established cloudier slightly less cold weather probably spreading slowly S’wards later some fog given recent wet weather ice given recent wet weather showers running into E of NI and SE Scotland snow showers running W’wards across S areas today and first half of tonight
2024-01-08_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-08_120000.npy,Coldest airmass snow ice,Coldest airmass across S Britain next 24hrs some snow moving westwards this evening transient ice
2024-01-08_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-08_180000.npy,coldest airmass snow showers,Coldest airmass across S Britain during next 24hrs Current snow showers clearing leaving transient ice
2024-01-09_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-09_000000.npy,Cold cloudier ice,"Cold, blocked regime now established Cloudier from the N for a time Ice where surfaces wet/untreated"
2024-01-09_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-09_060000.npy,Cold cloudier ice,"Cold, blocked regime persists cloudier from the N /NE for a time ice possible where surfaces wet/untreated"
2024-01-09_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-09_120000.npy,Cold ice,"Cold, blocked regime persists ice possible where surfaces wet/untreated"
2024-01-09_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-09_180000.npy,Cold ice,"Cold, blocked regime persists ice possible where surfaces wet/untreated"
2024-01-10_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-10_000000.npy,Cold cloudier ice,"Cold, blocked regime persists Cloudier from the N /NE for a time Ice possible where surfaces wet/untreated"
2024-01-10_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-10_060000.npy,Cold ice,"Cold, blocked regime persists ice possible where surfaces wet/untreated"
2024-01-10_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-10_120000.npy,Cold ice,"Cold, blocked regime persists ice possible where surfaces wet/untreated"
2024-01-10_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-10_180000.npy,Cold ice,"Cold, blocked regime persists ice possible where surfaces wet/untreated"
2024-01-11_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-11_000000.npy,Cold ice FZFG,"Cold, blocked regime persists ice possible where surfaces wet/untreated locally persistent FZFG likely tonight into Friday for parts of Scotland (e.g. Central Belt) and NI"
2024-01-11_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-11_060000.npy,Cold cloudier ice FZFG,"Cold, blocked regime persists cloudier from the N /NE for a time loc ice possible where surfaces wet/untreated locally persistent FZFG likely tonight into Friday for parts of Scotland"
2024-01-11_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-11_120000.npy,Cold cloudier ice FZFG colder winter hazards,"Cold, blocked regime persists cloudier from the N /NE for a time ice possible where surfaces wet/untreated locally persistent FZFG likely tonight into Friday for parts of Scotland Turning colder again into the weekend increasing likelihood of winter hazards, initially in the N"
2024-01-11_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-11_180000.npy,ice FZFG winter hazards,"loc ice possible where surfaces wet/untreated locally persistent FZFG likely tonight into Friday for parts of Scotland (e.g. Central Belt) and NI increasing likelihood of winter hazards, initially in the N"
2024-01-12_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-12_000000.npy,ice FZFG winter hazards,"loc ice possible where surfaces wet/untreated locally persistent FZFG likely tonight into Friday for parts of Scotland (e.g. Central Belt) and NI increasing likelihood of winter hazards, initially in the N"
2024-01-12_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-12_060000.npy,High pressure winter hazards rain Wintry showers,High pressure migrating away from the UK increasing threat of winter hazards developing later this weekend and next week rain affecting the N later Wintry showers developing across N areas later Saturday
2024-01-12_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-12_120000.npy,High pressure rain Wintry showers,High pressure migrating away from the UK rain affecting the N tonight Wintry showers developing across N areas later Saturday
2024-01-12_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-12_180000.npy,Wintry showers cold spell cold front,"Wintry showers developing across N areas later Saturday, and more definitely into Sunday onset of the cold spell initial cold front clears out the BL"
2024-01-13_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-13_000000.npy,Wintry showers cold spell cold front,"Wintry showers developing across N areas later Saturday, and more definitely into Sunday onset of the cold spell initial cold front clears out the BL"
2024-01-13_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-13_060000.npy,Wintry showers,"Wintry showers developing across N areas later Saturday, and more definitely into Sunday"
2024-01-13_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-13_120000.npy,Wintry showers,Wintry showers developing across N areas later Saturday
2024-01-13_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-13_180000.npy,Wintry showers,Wintry showers developing across N areas later Saturday
2024-01-14_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-14_000000.npy,Arctic maritime airmass Winter hazards Strong winds,Arctic maritime airmass becoming established across the UK over the next couple of days Winter hazards increasingly likely across the N in particular Strong winds accentuating the cold feel in the N and coastal E
2024-01-14_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-14_060000.npy,Arctic maritime airmass Winter hazards Strong winds,Arctic maritime airmass becoming established across the UK over the next couple of days Winter hazards increasingly likely across the N in particular Strong winds accentuating the cold feel in the N and coastal E
2024-01-14_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-14_120000.npy,Arctic maritime airmass Winter hazards Strong winds,Arctic maritime airmass becoming established across the UK Winter hazards increasingly likely across the N Strong winds accentuating the cold feel in the N and coastal E
2024-01-14_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-14_180000.npy,Arctic maritime airmass Winter hazards Strong winds,Arctic maritime airmass becoming established across the UK Winter hazards increasingly likely across the N in particular Strong winds accentuating the cold feel in the N and coastal E
2024-01-15_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-15_000000.npy,Arctic maritime airmass Winter hazards Strong winds,Arctic maritime airmass becoming established across the UK Winter hazards across the N in particular Strong winds accentuating the cold feel in the N and coastal E
2024-01-15_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-15_060000.npy,Arctic maritime airmass Winter hazards Strong winds,Arctic maritime airmass becoming established across the UK Winter hazards across the N in particular Strong winds accentuating the cold feel in the N and coastal E
2024-01-15_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-15_120000.npy,Arctic maritime airmass Winter hazards Strong winds,Arctic maritime airmass established across the UK Winter hazards across the N Strong winds accentuating the cold feel in the N and coastal E at first
2024-01-15_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-15_180000.npy,Arctic maritime airmass Winter hazards Strong winds,Arctic maritime airmass established across the UK Winter hazards across N and some central areas of UK Strong winds accentuating the cold feel in the N and coastal E at first
2024-01-16_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-16_000000.npy,Arctic maritime airmass wintry ppn,Arctic maritime airmass dominant in this period wintry ppn associated with low confidence detail
2024-01-16_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-16_060000.npy,Arctic maritime airmass wintry ppn,Arctic maritime airmass dominant in this period wintry ppn associated with low confidence detail
2024-01-16_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-16_120000.npy,frontal rain/sleet/snow ice Arctic maritime airmass snow/ice Severe frosts,frontal rain/sleet/snow affecting N areas at first ice tonight affecting N areas at first Arctic maritime airmass resumes dominance for next few days snow/ice concentrated in the far N Severe frosts over snow cover
2024-01-16_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-16_180000.npy,frontal rain sleet snow ice Arctic maritime airmass severe frosts,frontal rain affecting central/N areas at first sleet affecting central/N areas at first snow affecting central/N areas at first ice tonight affecting central/N areas at first Arctic maritime airmass resumes dominance for next few days severe frosts over snow cover
2024-01-17_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-17_000000.npy,Arctic maritime airmass yellow warnings for snow/ice Severe frosts,Arctic maritime airmass resumes dominance for next few days yellow warnings for snow/ice in place Severe frosts over snow cover
2024-01-17_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-17_060000.npy,Arctic maritime airmass Amber warning snow ice FZFG Severe frosts,Arctic maritime airmass dominant for next few days Amber warning issued for ongoing impacts from additional snow for the Northern Isles and NW Scotland additional snow for the Northern Isles and NW Scotland Lower key snow/ice warnings issued elsewhere isol FZFG away from windward coasts possible just about anywhere Severe frosts over snow cover
2024-01-17_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-17_120000.npy,Arctic maritime airmass Amber warning snow ice FZFG Severe frosts,Arctic maritime airmass dominant for next few days Amber warning issued for ongoing impacts from additional snow for the Northern Isles and NW Scotland additional snow for the Northern Isles and NW Scotland Lower key snow/ice warnings issued elsewhere isol FZFG away from windward coasts possible just about anywhere Severe frosts over snow cover
2024-01-17_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-17_180000.npy,Arctic maritime airmass Amber warning snow ice warnings FZFG Severe frosts,Arctic maritime airmass dominant tonight and Thursday Amber warning issued for ongoing impacts from additional snow for the Northern Isles and NW Scotland Lower key snow/ice warnings issued elsewhere Lower key snow/ice warnings issued elsewhere isol FZFG away from windward coasts possible just about anywhere Severe frosts over snow cover
2024-01-18_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-18_000000.npy,Arctic maritime airmass Amber warning snow ice Severe frosts,Arctic maritime airmass dominant through Thursday Amber warning in place for ongoing impacts from additional snow for the Northern Isles and NW Scotland additional snow for the Northern Isles and NW Scotland Low impact snow/ice warnings issued for parts of W and E for this morning Severe frosts over snow cover
2024-01-18_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-18_060000.npy,cold Arctic maritime airmass snow ice amber snow warning FZFG Severe frosts,Influence of cold Arctic maritime airmass waning tonight wintry hazards today/tonight in the N with snow wintry hazards today/tonight in the N with ice warnings in force amber snow warning for parts of Scotland in force until 1800 today isol FZFG possible just about anywhere away from windward coasts Severe frosts over snow cover
2024-01-18_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-18_120000.npy,cold Arctic maritime airmass wind rain severe frosts,Influence of cold Arctic maritime airmass waning tonight wind Sunday/Monday rain Sunday/Monday severe frosts over snow cover
2024-01-18_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-18_180000.npy,cold Arctic maritime airmass wind rain Ice severe frosts,Influence of cold Arctic maritime airmass waning tonight wind Sunday/Monday rain Sunday/Monday Ice likely to be a much greater hazard than normal for NI severe frosts over snow cover
2024-01-19_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-19_000000.npy,cold Arctic maritime airmass wind rain Ice,Influence of cold Arctic maritime airmass waning wind Sunday/Monday rain Sunday/Monday Ice likely to be a much greater hazard than normal early on for NI
2024-01-19_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-19_060000.npy,wind rain wintry hazards,wind Sunday/Monday rain Sunday/Monday wintry hazards today
2024-01-19_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-19_120000.npy,Atlantic influence wintry hazards Yellow rain yellow/amber wind warnings,Atlantic influence reasserts itself wintry hazards today/tonight Yellow rain warnings in force Sunday/Monday yellow/amber wind warnings in force Sunday/Monday
2024-01-19_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-19_180000.npy,ice rain storm,ice in far NE overnight low key rain warning for tomorrow for parts of Scotland Storm Ish a now named
2024-01-20_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-20_000000.npy,ice rain storm,ice in far NE overnight low key rain warning for tomorrow for parts of Scotland Storm Isha arrives from the SW tomorrow
2024-01-20_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-20_060000.npy,very strong winds,very strong winds across UK
2024-01-20_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-20_120000.npy,very strong winds,very strong winds across UK but focus over coastal England/Wales and more widely N England N’wards
2024-01-21_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-21_000000.npy,heavy rain strong winds amber wind,heavy rain at times over the next several days strong winds at times over the next several days amber wind covering medium impacts
2024-01-21_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-21_180000.npy,heavy rain strong winds amber wind warnings,heavy rain over the next several days strong winds at times over the next several days amber wind warnings covering areas of both medium and high impacts
2024-01-22_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-22_000000.npy,amber wind warnings yellow warning winds showery wet/windy weather,amber wind warnings soon expire yellow warning at 1200 winds moderating today though remaining windy remaining showery wet/windy weather Tuesday/night
2024-01-22_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-22_060000.npy,wind warning Winds,yellow wind warning expires at 1200 Winds moderating though remaining
2024-01-22_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-22_120000.npy,Storm Isha wet/windy weather amber wind warning Storm Jocelyn,Storm Isha now moving away and filling wet/windy weather Tuesday evening/ night/ Wednesday amber wind warning covering parts of western and northern Scotland Storm Jocelyn is a step down relative to Storm Isha
2024-01-22_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-22_180000.npy,wind rain,wind peaking Tuesday evening to early Wednesday NSWWS rain warnings in force for Tuesday
2024-01-23_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-23_000000.npy,wind ice rain,wind peaking Tuesday evening to early Wednesday ice warnings in force for Tuesday rain warnings in force for Tuesday
2024-01-23_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-23_060000.npy,wind,wind peaking this evening to early Wednesday
2024-01-23_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-23_120000.npy,wind,wind peaking this evening to early Wednesday
2024-01-23_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-23_180000.npy,Peak winds heavier bursts of rain,Peak winds associated with Storm Jocelyn affecting the UK overnight/early Wednesday heavier bursts of rain Thursday
2024-01-24_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-24_000000.npy,Peak winds heavier bursts of rain,Peak winds associated with Storm Jocelyn affecting the UK early today Heavier bursts of rain on active cold front Thursday night
2024-01-24_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-24_060000.npy,wind warning rain heavier bursts of rain Gusts,Yellow L/M wind warning will expire at 1500 today Further rain at times Thursday Heavier bursts of rain on the active cold front and following trough Gusts of 55 -65 mph possible near cold front/trough central and N areas
2024-01-24_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-24_120000.npy,rain heavier bursts of rain gusts of wind,Further rain at times Thursday Heavier bursts of rain on the active cold front and following trough Gusts of 55 -65 mph possible near cold front/trough central and N areas
2024-01-24_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-24_180000.npy,rain heavier bursts of rain gusts,Further rain at times Thursday Heavier bursts of rain on the active cold front and following trough Gusts of 55 -65 mph possible near cold front/trough central and N areas Thursday night
2024-01-25_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-25_000000.npy,rain heavier bursts of rain Gusts,Further rain at times today Heavier bursts of rain on the active cold front and following trough Gusts of 55 -65 mph possible near cold front/trough central and N areas Thursday night
2024-01-25_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-25_060000.npy,rain heavier bursts of rain squally winds,"Further rain at times today Heavier bursts of rain on the active cold front and following trough Squally winds likely, mainly for sea/coastal areas in assw cold front/trough overnight"
2024-01-25_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-25_120000.npy,rain squally cold front windspeeds showers,Further rain at times ahead of squally cold front Squally cold front which pushes quickly ESE overnight Rapid increase in windspeeds Showers following across N tomorrow
2024-01-25_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-25_180000.npy,rain squally cold front windspeeds showers,Further rain at times ahead of squally cold front Squally cold front which pushes quickly ESE overnight Rapid increase in windspeeds Showers following across N tomorrow
2024-01-26_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-26_000000.npy,Squally cold front showers windy sunny spells light winds,Squally cold front clearing the far SE by 07Z showers following across N windy with showers over the NW sunny spells in the S and SE light winds in the S and SE
2024-01-26_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-26_060000.npy,showers sunny spells light winds,showers over the NW sunny spells in the S and SE light winds in the S and SE
2024-01-26_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-26_120000.npy,windy with showers light winds,windy with showers over the NW fine with light winds in the S and SE
2024-01-26_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-26_180000.npy,showers light winds exceptionally mild temps,windy with showers over the NW fine with light winds in the S and SE exceptionally mild temps possible Sunday - 15-17C across N Wales
2024-01-27_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-27_000000.npy,showers light winds exceptionally mild temps windy marked MTW activity,showers over the NW light winds in the S and SE exceptionally mild temps possible Sunday - 15-17C across N Wales windy with marked MTW activity for N’ern areas
2024-01-27_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-27_060000.npy,rain strong winds hazy sunshine,rain affecting the NW at times strong winds affecting the NW at times hazy sunshine further SE
2024-01-27_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-27_120000.npy,rain strong winds hazy sunshine,further rain affecting the NW at times strong winds affecting the NW at times hazy sunshine further SE
2024-01-27_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-27_180000.npy,rain strong winds hill snow temp contrast,rain affecting the NW at times strong winds affecting the NW at times hill snow becoming more widespread for a time Monday marked temp contrast NW - SE
2024-01-28_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-28_000000.npy,rain strong winds hill snow temp contrast,rain affecting the NW at times strong winds affecting the NW at times hill snow becoming more widespread for a time Monday marked temp contrast NW - SE
2024-01-28_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-28_060000.npy,rain strong winds hill snow heavy rain temp contrast,rain affecting the NW at times strong winds affecting the NW at times hill snow becoming more widespread for a time Monday heavy rain for NW Wales and parts of N England marked temp contrast NW - SE
2024-01-28_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-28_120000.npy,Yellow wind warnings maximum temperature Rain hill snow heavy rain,"Yellow wind warnings in place at first for parts of NI and Scotland 19.6C at Kinlochewe, provisionally a new Scotland and UK highest maximum temperature for January Rain becoming more widespread for a time Monday Hill snow becoming more widespread for a time Monday Heavy rain for NW Wales and parts of N England"
2024-01-28_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-28_180000.npy,maximum temperature Rain hill snow heavy rain,19.6C at Kinlochewe today Rain becoming more widespread for a time Monday Hill snow becoming more widespread for a time Monday Heavy rain for NW Wales and parts of N England
2024-01-29_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-29_000000.npy,highest max temp heavy rain wind rain,"19.6C at Kinlochewe Sunday, provisionally a new Scotland and UK highest max temp for January Yellow warning for heavy rain across N England today/tonight focus of wind in the N focus of rain in the N"
2024-01-29_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-29_060000.npy,max temp heavy rain wind,19.6C at Kinlochewe Sunday heavy rain across N England today/tonight wind N Scotland Wednesday
2024-01-29_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-29_120000.npy,max temp heavy rain wind,19.9C max temp at Achfary on Sunday heavy rain across N England today/tonight wind N Scotland Wednesday
2024-01-29_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-29_180000.npy,max temp heavy rain wind,19.9C max temp at Achfary on Sunday heavy rain across N England tonight wind N Scotland Wednesday
2024-01-30_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-30_000000.npy,max temp Windy,"19.9C max temp at Achfary on Sunday Windy in the N Wednesday, especially N Scotland"
2024-01-30_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-30_060000.npy,max temp Windy,"19.9C max temp at Achfary on Sunday Windy in the N Wednesday, especially N Scotland"
2024-01-30_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-30_120000.npy,max temp wind,19.9C max temp at Achfary on Sunday Windy in the N Wednesday
2024-01-30_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-30_180000.npy,very strong winds rainfall temperatures,very strong winds to the N on Wednesday relatively little rainfall in the S temperatures will be often above average
2024-01-31_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-31_000000.npy,very strong winds rainfall temperatures,very strong winds to the N on Wednesday relatively little rainfall in the S temperatures will often be above average
2024-01-31_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-31_060000.npy,very strong winds rainfall temperatures,very strong winds to the N on Wednesday relatively little rainfall in the S temperatures will often be above average
2024-01-31_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-31_120000.npy,wind gusts Strongest winds rainfall temperatures,wind gusts of over 100 mph to the Faroe Islands Strongest winds for UK now in the unstable Pm airmass across the far north relatively little rainfall in the S temperatures will often be above average
2024-01-31_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-31_180000.npy,Cold front frequent showers,Cold front associated with Storm Ingunn clearing south overnight frequent showers in the far N
2024-02-01_000000,EIB2025/npy_files_2024_single_timesteps/2024-02-01_000000.npy,Frequent showers coastal severe gales rain warm sector conditions colder showery conditions,Frequent showers in the far N soon easing coastal severe gales in the far N soon easing Further rain arriving in the NW later Thursday warm sector conditions nationwide into Friday Becoming very mild on Friday before colder conditions return in the far N overnight showery conditions return in the far N overnight
2024-02-01_060000,EIB2025/npy_files_2024_single_timesteps/2024-02-01_060000.npy,Rain warm sector conditions showery conditions,Rain arriving in NW later Thursday warm sector conditions nationwide into Friday showery conditions return to far N overnight
2024-02-01_120000,EIB2025/npy_files_2024_single_timesteps/2024-02-01_120000.npy,Warm sector conditions strong and gusty winds showery conditions,Warm sector conditions nationwide into Friday strong and gusty winds in north might cause isolated 'low' impacts showery conditions return to far N overnight
2024-02-01_180000,EIB2025/npy_files_2024_single_timesteps/2024-02-01_180000.npy,Warm sector conditions strong and gusty winds colder showery conditions,Warm sector conditions nationwide into Friday strong and gusty winds in north colder conditions return to the north showery conditions return to the north
